ID,ID_Trismegistos,ID_status,Name,Alternative_name,Family,Phylum,Earliest,Floruit,Latest,Issue,Attestation,Status,Region,Latitude,Longitude,Parent,Source,Relevance,Note
libu1200,,0,Liburnian,,Indo-European,Balkan,,,,,onomastic,,Balkans,,,grae1234,,0,only onomastic
anci1248,40,1,Ligurian,,Unclassified,,,,,,onomastics,language,Italy,,,NA,,,
lusi1235,41,1,Lusitanian,,Indo-European,Unclassified,,,,,,,Iberia,,,indo1319,,1,
luvi1235,98,1,Luwian,"Luvian, Hieroglyphic Luwian, Cuneiform Luwian",Indo-European,Anatolian,-1600,-900,-600,,,,Anatolia,,,anat1257,,1,"Woodard: ""differences between CLuvian and HLuvian are minimal"""
lyci1241,83,1,Lycian,Lycian A,Indo-European,Anatolian,,,,,,,Anatolia,,,anat1257,,1,
lydi1241,85,1,Lydian,,Indo-European,Anatolian,-750,-400,-200,,,,Anatolia,,,anat1257,,1,
mace1200,,0,Macedonian,,Indo-European,Balkan,,,,,,,Balkans,,,grae1234,,1,
maha1305,94,1,Maharastri Prakrit,,Indo-European,Indo-Aryan,,,,,,,,,,sans1269,,,
marr1267,36,1,Marrucinian,,Indo-European,Italic,,,,0,epigraphic,dialect,Italy,,,osca1245,,1,
mars1253,36,1,Marsian,,Indo-European,Italic,,,,0,epigraphic,dialect,Italy,,,umbr1253,,1,
mero1237,42; 43,1,Meroitic,,Unclassified,,,,,,,,Africa,,,NA,,1,
mess1244,44,1,Messapic,Messapian,Indo-European,Balkan,,,,,,,Italy,,,grae1234,,1,
mily1238,84,1,Milyan,Lycian B,Indo-European,Anatolian,,,,,,dialect,Anatolia,,,lyci1241,,1,
mina1279,4,1,Minaean,Minaic,Afro-Asiatic,Semitic,,,,,,dialect,Arabia,,,sayh1236,,,
moab1234,,1,Moabite,,Afro-Asiatic,Semitic,,,,,,dialect,ANE,,,anci1244,,1,
moes1200,,0,Moesian,,Indo-European,Balkan,,,,,,,Balkans,,,grae1234,,1,
myce1242,,1,Mycenaean Greek,,Indo-European,Balkan,,,,,,,Balkans,,,grae1234,,1,
mysi1239,101,1,Mysian,,Indo-European,Anatolian,,,,,,,Anatolia,,,anat1257,,,
mysi1239,,1,Mysian,,Indo-European,Balkan,,,,,,,Balkans,,,grae1234,,1,
naba1200,47,0,Nabataean,,Afro-Asiatic,Semitic,,,,,,,ANE,,,aram1259,,,
nort1401,48,1,North Picene,,Unclassified,,,,,0,epigraphic,language,Italy,,,NA,,0,Forgery? https://www.trismegistos.org/lang/detail.php?language_id=48
numi1241,39,1,Numidian,Libyan,Afro-Asiatic,Berber,,,,,,,Africa,,,afro1255,,1,
stan1289 ,69,1,Old Catalan,,Indo-European,Romance,,,,,,,Iberia,,,lati1261,,,
chur1257,77,1,Old Church Slavonic,Church Slavic,Indo-European,Slavic,,,,,,,Balkans,,,indo1319,,,
olde1238,73,1,Old English,,Indo-European,Germanic,,,,,,,Britain,,,germ1287,,,
oldf1239,82,1,Old French,,Indo-European,Romance,,,,,,,W Europe,,,lati1261,,,
oldh1241,74,1,Old High German,,Indo-European,Germanic,,,,,,,W Europe,,,germ1287,,,
oldi1245,75,1,Old Irish,,Indo-European,Celtic,,,,,,,Britain,,,celt1248,,,
oldn1244,105,1,Old Norse,,Indo-European,Germanic,,,,,,,N Europe,,,germ1287,,,
